idtag;format;type;adresse;periode;delay;slave;tagname;zone;userfield1;userfield2;coef;affichage;libelle0;libelle1;libelleEtendu;astreinte
1;BIT;;42001;P;60;2;Jérôme Borecki;TEST551;TEST551;TEST551;1;N;;;;0
2;BIT;;42002;P;60;2;Didier Gambade;TEST552;TEST552;TEST552;1;N;;;;0
3;BIT;;42003;P;60;2;H.L.Finance;TEST553;TEST553;TEST553;1;N;;;;0
4;BIT;;42004;P;60;2;Marc Muin;TEST554;TEST554;TEST554;1;N;;;;0
5;BIT;;42005;P;60;2;Yvan Markioli;TEST555;TEST555;TEST555;1;N;;;;0
6;BIT;;42006;P;60;2;Philippe Boulicaut;TEST556;TEST556;TEST556;1;N;;;;0
7;BIT;;42007;P;60;2;Jean-Marc Tillier;TEST557;TEST557;TEST557;1;N;;;;0
8;BIT;;42008;P;60;2;Olivier Seurre;TEST558;TEST558;TEST558;1;N;;;;0
9;BIT;;42009;P;60;2;Stagiaire 4;TEST559;TEST559;TEST559;1;N;;;;0
10;BIT;;42010;P;60;2;Cyril Castro;TEST560;TEST560;TEST560;1;N;;;;0
11;BIT;;42011;P;60;2;Marion Bondoux;TEST561;TEST561;TEST561;1;N;;;;0
12;BIT;;42012;P;60;2;Stagiaire 1;TEST562;TEST562;TEST562;1;N;;;;0
13;BIT;;42013;P;60;2;Romain Duchesnes;TEST563;TEST563;TEST563;1;N;;;;0
14;BIT;;42014;P;60;2;Florent Marchand;TEST564;TEST564;TEST564;1;N;;;;0
15;BIT;;42015;P;60;2;Nicolas Ducret;TEST565;TEST565;TEST565;1;N;;;;0
16;BIT;;42016;P;60;2;Pascal Démas;TEST566;TEST566;TEST566;1;N;;;;0
17;BIT;;42017;C;0;2;Stagiaire 3;TEST567;TEST567;TEST567;1;N;;;;0
18;BIT;;42018;C;0;2;Sylvain Defail;TEST568;TEST568;TEST568;1;N;;;;0
19;BIT;;42019;C;0;2;Sylvain Verne;TEST569;TEST569;TEST569;1;N;;;;0
20;BIT;;42020;C;0;2;Alexandre Micard;TEST570;TEST570;TEST570;1;N;;;;0
